# Coordinated beginning of month and monthly mean lakewide average water levels for Lake Erie
# Units: meters above IGLD 1985
# Coordinated period:  Jan 1918 through previous December
# Coordinated by the Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data
# www.GreatLakesCC.org
#
"Year","Month","Beginning of Month","Monthly Mean"
1981,9,174.49,174.5
1981,10,174.47,174.44
1981,11,174.43,174.39
1981,12,174.35,174.33
1982,1,174.32,174.28
1982,2,174.28,174.28
1982,3,174.29,174.44
1982,4,174.57,174.64
1982,5,174.65,174.62
1982,6,174.64,174.63
1982,7,174.61,174.58
1982,8,174.52,174.46
1982,9,174.38,174.34
1982,10,174.32,174.25
1982,11,174.19,174.24
1982,12,174.29,174.34
1983,1,174.4,174.38
1983,2,174.35,174.36
1983,3,174.35,174.39
1983,4,174.43,174.52
1983,5,174.58,174.68
1983,6,174.7,174.7
1983,7,174.72,174.7
1983,8,174.72,174.68
1983,9,174.63,174.54
1983,10,174.46,174.42
1983,11,174.36,174.4
1983,12,174.4,174.48
1984,1,174.42,174.38
1984,2,174.32,174.39
1984,3,174.5,174.54
1984,4,174.65,174.63
1984,5,174.53,174.6
1984,6,174.67,174.7
1984,7,174.7,174.67
1984,8,174.62,174.61
1984,9,174.57,174.53
1984,10,174.5,174.46
1984,11,174.42,174.4
1984,12,174.34,174.36
1985,1,174.44,174.45
1985,2,174.41,174.48
1985,3,174.66,174.79
1985,4,174.94,174.98
1985,5,174.96,174.92
1985,6,174.91,174.89
1985,7,174.85,174.83
